Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.04 
Min n.eff:                        0 


Model summary 
============= 
                       mean         sd          2.5%          50%       97.5% Rhat n.eff
betaD.R[1]      -0.65048827 0.51762800 -1.6826321161 -0.646969027  0.33377274 1.01   946
mu.R[4]          0.11652580 0.04473335  0.0474643104  0.110665623  0.21860176 1.00  2985
mu.R[5]          0.25112722 0.07916059  0.1153594284  0.243523797  0.42302583 1.00  5090
mu.R[6]          0.08225840 0.04493692  0.0197756596  0.073631479  0.19051114 1.00  4415
mu.p             0.93747137 0.02623946  0.8666319896  0.942960443  0.97027374 1.04   316
mu.phi[1]        0.55265729 0.04702220  0.4564264101  0.553650808  0.64120747 1.00  1579
mu.phi[2]        0.75274026 0.04391014  0.6624623036  0.754457600  0.83283557 1.00  1681
mu.phi[3]        0.82972933 0.03835013  0.7497352745  0.832035364  0.89610819 1.00  2376
mu.phi[4]        0.84460822 0.02839874  0.7852665643  0.845949840  0.89570106 1.00  1736
mu.phi[5]        0.72403937 0.04918236  0.6229012299  0.726396341  0.81489543 1.00  3127
mu.phi[6]        0.59127195 0.05847591  0.4746114869  0.592954031  0.70337369 1.00  3810
sigma.R          0.76435659 0.32644009  0.2208864231  0.735267504  1.46816064 1.04   501
sigma.p          1.43276281 0.48088746  0.7417012209  1.344889741  2.62283201 1.01   789
sigma.phi        0.66176955 0.13048880  0.4228083748  0.654734275  0.93463129 1.01   412
veg[1]           0.15436460 0.73337091 -1.4221682296  0.193064871  1.52173980 1.02  1111
veg[2]           1.78600000 0.00000000  1.7860000000  1.786000000  1.78600000  NaN     0
veg[3]           2.19000000 0.00000000  2.1900000000  2.190000000  2.19000000  NaN     0
