ID,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1040,999,999,999,999,999,999,999,999,999,1,1,1,1,1,5,5,5
1044,999,999,999,999,999,999,999,999,999,1,1,3,5,5,5,5,5
1045,999,999,999,999,999,999,999,999,999,1,4,5,5,5,5,5,5
1050,999,999,999,999,999,999,999,999,999,1,1,1,5,5,5,5,5
1054,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1
1057,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1
1058,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1
1064,999,999,999,999,999,999,999,999,999,1,1,2,1,2,2,2,2
1066,999,999,999,999,999,999,999,999,999,1,1,1,5,5,5,5,5
1067,999,999,999,999,999,999,999,999,999,1,1,1,1,1,5,5,5
1070,999,999,999,999,999,999,999,999,999,1,1,1,1,5,5,5,5
1071,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1
1072,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1
1074,999,999,999,999,999,999,999,999,999,1,1,1,4,5,5,5,5
1079,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1
1081,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,5
1087,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1
1090,999,999,999,999,999,999,999,999,999,1,1,5,5,5,5,5,5
1093,999,999,999,999,999,999,999,999,999,1,1,1,5,5,5,5,5
1094,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1
1095,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1
1096,999,999,999,999,999,999,999,999,999,1,1,1,5,5,5,5,5
1099,999,999,999,999,999,999,999,999,999,1,1,1,1,1,5,5,5
1101,999,999,999,999,999,999,999,999,999,1,1,1,1,1,4,5,5
1103,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1
1107,999,999,999,999,999,999,999,999,999,999,1,1,1,1,1,4,5
1108,999,999,999,999,999,999,999,999,999,999,1,1,5,5,5,5,5
